already-tested LR combos: 5
remaining untested combos to try: 1600
[203] LR_20260709_081346 f1_up=0.5477 | C=1.493e+03 solver=liblinear | elapsed=916s
[204] LR_20260709_081357 f1_up=0.5483 | C=2.140e-08 solver=lbfgs | elapsed=919s
[205] LR_20260709_081400 f1_up=0.5475 | C=2.049e+01 solver=lbfgs | elapsed=922s
[206] LR_20260709_081403 f1_up=0.5483 | C=1.397e-04 solver=lbfgs | elapsed=925s
[207] LR_20260709_081406 f1_up=0.5475 | C=1.554e+01 solver=lbfgs | elapsed=929s
[208] LR_20260709_081410 f1_up=0.5483 | C=2.806e-06 solver=lbfgs | elapsed=931s
[209] LR_20260709_081413 f1_up=0.5483 | C=9.800e-08 solver=lbfgs | elapsed=934s
[210] LR_20260709_081415 f1_up=0.5477 | C=1.785e+01 solver=liblinear | elapsed=943s
[211] LR_20260709_081424 f1_up=0.5482 | C=1.292e-07 solver=lbfgs | elapsed=945s
[212] LR_20260709_081427 f1_up=0.5475 | C=1.774e+03 solver=lbfgs | elapsed=949s
[213] LR_20260709_081430 f1_up=0.5475 | C=7.262e+00 solver=lbfgs | elapsed=953s
[214] LR_20260709_081434 f1_up=0.5475 | C=1.203e+00 solver=lbfgs | elapsed=956s
[215] LR_20260709_081437 f1_up=0.5475 | C=2.287e-01 solver=lbfgs | elapsed=961s
[216] LR_20260709_081443 f1_up=0.5483 | C=2.347e-04 solver=liblinear | elapsed=968s
[217] LR_20260709_081450 f1_up=0.5475 | C=1.885e+00 solver=lbfgs | elapsed=973s
[218] LR_20260709_081454 f1_up=0.5482 | C=2.863e-07 solver=liblinear | elapsed=977s
[219] LR_20260709_081458 f1_up=0.5477 | C=6.816e-02 solver=lbfgs | elapsed=981s
[220] LR_20260709_081502 f1_up=0.5481 | C=6.719e-03 solver=lbfgs | elapsed=985s
[221] LR_20260709_081507 f1_up=0.5481 | C=1.438e-02 solver=lbfgs | elapsed=990s
[222] LR_20260709_081511 f1_up=0.5483 | C=2.710e-06 solver=lbfgs | elapsed=993s
[223] LR_20260709_081514 f1_up=0.5481 | C=9.829e-03 solver=liblinear | elapsed=1003s
[224] LR_20260709_081525 f1_up=0.5477 | C=2.436e+01 solver=liblinear | elapsed=1014s
[225] LR_20260709_081535 f1_up=0.5481 | C=6.955e-03 solver=liblinear | elapsed=1021s
[226] LR_20260709_081542 f1_up=0.5481 | C=1.595e-02 solver=lbfgs | elapsed=1025s
[227] LR_20260709_081546 f1_up=0.5477 | C=2.241e+00 solver=lbfgs | elapsed=1029s
[228] LR_20260709_081550 f1_up=0.5481 | C=2.500e-02 solver=liblinear | elapsed=1038s
[229] LR_20260709_081559 f1_up=0.5483 | C=1.918e-06 solver=liblinear | elapsed=1041s
[230] LR_20260709_081602 f1_up=0.5482 | C=3.403e-07 solver=liblinear | elapsed=1044s
[231] LR_20260709_081605 f1_up=0.5481 | C=1.129e-02 solver=liblinear | elapsed=1052s
[232] LR_20260709_081613 f1_up=0.5475 | C=9.198e+02 solver=lbfgs | elapsed=1056s
[233] LR_20260709_081617 f1_up=0.5475 | C=9.716e+01 solver=lbfgs | elapsed=1060s
[234] LR_20260709_081621 f1_up=0.5475 | C=1.245e+00 solver=lbfgs | elapsed=1064s
[235] LR_20260709_081625 f1_up=0.5475 | C=1.326e+02 solver=lbfgs | elapsed=1067s
[236] LR_20260709_081629 f1_up=0.5477 | C=2.596e+03 solver=liblinear | elapsed=1077s
[237] LR_20260709_081638 f1_up=0.5477 | C=9.067e+01 solver=liblinear | elapsed=1086s
[238] LR_20260709_081647 f1_up=0.5477 | C=1.245e+00 solver=liblinear | elapsed=1095s
[239] LR_20260709_081656 f1_up=0.5481 | C=1.637e-05 solver=lbfgs | elapsed=1098s
