index,C,solver,cv_f1_up_mean,cv_f1_up_std,cv_precision_up_mean,cv_recall_up_mean,cv_f1_up_folds_json,seconds,dataset_fingerprint,status,error
69,0.375837404288,lbfgs,0.4169040051945584,0.05971060651655071,0.4186683653371147,0.42681597954287787,"[0.49140658401026077, 0.4701289834206581, 0.3687385841589639, 0.3326354357498037, 0.42161043863310527]",2.208,4c2259e97b3f,ok,
70,0.375837404288,liblinear,0.41693327970806066,0.0598325278289448,0.4186020532535391,0.4268867893880536,"[0.4914739946151545, 0.4702616028743653, 0.3682880489919392, 0.33262873455512215, 0.42201401750372225]",7.393,4c2259e97b3f,ok,
71,2.81838293126,lbfgs,0.4169176022952721,0.059657445395878424,0.4186624028802666,0.4268624971693484,"[0.4913740294892799, 0.47007658968117316, 0.3688191881918819, 0.33271541665757964, 0.42160278745644597]",2.591,4c2259e97b3f,ok,
72,2.81838293126,liblinear,0.4169311065580758,0.059798048972508594,0.41860685025922273,0.4268686272855808,"[0.4913810297176397, 0.4702353552602272, 0.3682871053408085, 0.3326577312847336, 0.42209431118697]",7.116,4c2259e97b3f,ok,
73,0.354813389234,lbfgs,0.41691298911159924,0.059723490803554165,0.41866938043893603,0.42683562899527877,"[0.4914425776295726, 0.4701447124304267, 0.36873178111508803, 0.3326354357498037, 0.42161043863310527]",2.49,4c2259e97b3f,ok,
74,0.354813389234,liblinear,0.4168983767745086,0.05981608165958506,0.4185773793468389,0.4268397019692344,"[0.4913950307727376, 0.4702319090180242, 0.36829484247030175, 0.3325923988842399, 0.4219777027272397]",6.901,4c2259e97b3f,ok,
75,0.334965439158,lbfgs,0.41691924986602097,0.059717319578661,0.41867441550689033,0.4268428237740725,"[0.491421079632902, 0.4701674186654001, 0.368761876648894, 0.3326354357498037, 0.42161043863310527]",2.518,4c2259e97b3f,ok,
76,0.334965439158,liblinear,0.416898796120459,0.05980421734963758,0.41857311112821227,0.426846438697879,"[0.4913670294603681, 0.4702319090180242, 0.3683249405124232, 0.3325923988842399, 0.4219777027272397]",6.712,4c2259e97b3f,ok,
77,2.98538261892,lbfgs,0.416921900619879,0.0596628103666839,0.4186652643367664,0.42686889430343233,"[0.4913955211123141, 0.47007658968117316, 0.3688191881918819, 0.33271541665757964, 0.42160278745644597]",2.466,4c2259e97b3f,ok,
78,2.98538261892,liblinear,0.4169340048370107,0.05980165756738364,0.418607435893078,0.42687502441966474,"[0.4913955211123141, 0.4702353552602272, 0.3682871053408085, 0.3326577312847336, 0.42209431118697]",6.925,4c2259e97b3f,ok,
79,0.316227766017,lbfgs,0.4169206320202222,0.05974314506792546,0.41867107400417514,0.42684847723319236,"[0.49147808242603885, 0.470190124226368, 0.3687249783222331, 0.33262818136217914, 0.42158179376429167]",2.5,4c2259e97b3f,ok,
80,0.316227766017,liblinear,0.41688425187192635,0.05979383837441188,0.418555410558176,0.4268387213830934,"[0.4913535226916612, 0.47020221516168303, 0.3683317346712905, 0.3325923988842399, 0.42194138795075714]",6.825,4c2259e97b3f,ok,
81,3.16227766017,lbfgs,0.41692050517484996,0.05966156719150712,0.4186630937448349,0.42686889430343233,"[0.4913955211123141, 0.47006961245602835, 0.3688191881918819, 0.33271541665757964, 0.42160278745644597]",2.477,4c2259e97b3f,ok,
82,3.16227766017,liblinear,0.4169227411732369,0.05978586012896411,0.41859795516222126,0.4268622301514968,"[0.49133153838483123, 0.4702353552602272, 0.3682871053408085, 0.3326577312847336, 0.422101975595584]",7.043,4c2259e97b3f,ok,
83,0.298538261892,lbfgs,0.4169277948076921,0.05974978731680919,0.418675674792557,0.4268612715013602,"[0.4915140719629498, 0.4701831458339517, 0.36873178111508803, 0.33262818136217914, 0.42158179376429167]",2.483,4c2259e97b3f,ok,
84,0.298538261892,liblinear,0.41690045668081466,0.05979078882418544,0.41857179993320165,0.4268589000848751,"[0.49142450142450145, 0.4701533528302727, 0.3683317346712905, 0.33263598326359833, 0.42195671121441025]",7.138,4c2259e97b3f,ok,
85,3.34965439158,lbfgs,0.4169162068502431,0.05965620200835701,0.41866023228833515,0.4268624971693484,"[0.4913740294892799, 0.47006961245602835, 0.3688191881918819, 0.33271541665757964, 0.42160278745644597]",2.479,4c2259e97b3f,ok,
86,3.34965439158,liblinear,0.4169255375754036,0.059788847744020886,0.4186024042594855,0.4268622301514968,"[0.4913385378084221, 0.4702423378474697, 0.3682871053408085, 0.3326577312847336, 0.422101975595584]",6.886,4c2259e97b3f,ok,
87,3.54813389234,lbfgs,0.4169148068444608,0.05965445467974283,0.4186579565826034,0.4268624971693484,"[0.4913670294603681, 0.47006961245602835, 0.3688191881918819, 0.33271541665757964, 0.42160278745644597]",2.481,4c2259e97b3f,ok,
88,3.54813389234,liblinear,0.41692400469368085,0.059788715107636795,0.4185993352089997,0.4268622301514968,"[0.4913385378084221, 0.4702423378474697, 0.3682871053408085, 0.3326577312847336, 0.42209431118697]",6.984,4c2259e97b3f,ok,
89,0.281838293126,lbfgs,0.4169363475403605,0.0597571700440121,0.4186823387803381,0.4268740657695281,"[0.4915430541899999, 0.470190124226368, 0.3687385841589639, 0.33262818136217914, 0.42158179376429167]",2.495,4c2259e97b3f,ok,
90,0.281838293126,liblinear,0.4168917726854066,0.05977763011699746,0.41856571651278285,0.4268451252305662,"[0.4914100116812445, 0.47013064133016624, 0.36836183203290723, 0.33263598326359833, 0.4219203951191168]",6.942,4c2259e97b3f,ok,
91,3.75837404288,lbfgs,0.4169105084386754,0.059649090398042115,0.41865509499414805,0.4268561000352644,"[0.491345537431441, 0.47006961245602835, 0.3688191881918819, 0.33271541665757964, 0.42160278745644597]",2.561,4c2259e97b3f,ok,
92,3.75837404288,liblinear,0.4169227793242296,0.05978821058001192,0.41859681174633545,0.4268622301514968,"[0.49133153838483123, 0.4702423378474697, 0.3682803135085293, 0.3326577312847336, 0.422101975595584]",7.047,4c2259e97b3f,ok,
