index,n_estimators,max_depth,min_samples_leaf,max_features,f1_up_mean,f1_up_std,precision_up_mean,recall_up_mean,seconds
170,180,4,100,sqrt,0.4474225874573217,0.050599891828903315,0.4213716440239107,0.4897887037115888,51.09
171,120,6,100,0.6,0.4517704380854296,0.04523066671260449,0.42501393172993057,0.4929002261304364,96.27
172,120,6,100,sqrt,0.45333911142114564,0.04716267328989491,0.4237537527580025,0.4978088625272294,43.83
173,180,4,100,0.7,0.4497816054820215,0.04726702611486911,0.41778944101695625,0.49865368005236765,113.54
174,120,6,100,0.7,0.451783925539986,0.0453468929084286,0.42490366516196154,0.4928715346828465,105.99
175,80,9,100,sqrt,0.4545231396966495,0.04090569559670633,0.42675341542027495,0.4935776628172432,39.0
176,180,4,100,0.3,0.44863131371403425,0.04856258849674412,0.420869240883943,0.4925014991650937,59.67
177,80,9,100,0.6,0.4547178987424509,0.03844484206324627,0.42617743932736857,0.49334088248452207,91.84
178,80,9,100,log2,0.4545231396966495,0.04090569559670633,0.42675341542027495,0.4935776628172432,39.01
179,120,6,100,0.4,0.4524397691408753,0.045264310050122526,0.42498660141368927,0.494688615313872,70.17
180,180,4,100,0.4,0.44908137076809734,0.04827377717409048,0.42074805061453935,0.4940121872741571,79.28
181,120,6,100,log2,0.45333911142114564,0.04716267328989491,0.4237537527580025,0.4978088625272294,42.62
182,80,9,100,0.5,0.4549265882577463,0.03808475057376999,0.4270450291046107,0.49309200009893284,73.75
183,120,4,65,0.3,0.44920711609148506,0.049352439681473924,0.42174518085771756,0.49304134099240826,39.44
184,120,4,65,0.6,0.44872615173435537,0.04725832008741292,0.4189880564069486,0.49471280806209805,68.74
185,120,4,65,sqrt,0.4478043524705358,0.050525048208479084,0.4217985457043943,0.48994945009402235,36.46
